Mineral,Stage,Country,Year,Value_kt
Magnet rare earth elements,Mining,Myanmar,2024,12.071962643478264
Magnet rare earth elements,Mining,Myanmar,2030,10.765721739130436
Magnet rare earth elements,Mining,Myanmar,2035,11.038121739130435
Magnet rare earth elements,Mining,Myanmar,2040,11.038121739130435
Magnet rare earth elements,Refining,Malaysia,2024,3.62523562207358
Magnet rare earth elements,Refining,Malaysia,2030,10.101170459866225
Magnet rare earth elements,Refining,Malaysia,2035,10.101170459866225
Magnet rare earth elements,Refining,Malaysia,2040,10.101170459866225
Magnet rare earth elements,Mining,Australia,2024,3.23459341832022
Magnet rare earth elements,Mining,Australia,2030,12.715114660447584
Magnet rare earth elements,Mining,Australia,2035,14.566319453491271
Magnet rare earth elements,Mining,Australia,2040,14.566319453491271
Magnet rare earth elements,Refining,Australia,2024,0
Magnet rare earth elements,Refining,Australia,2030,2.537342307692308
Magnet rare earth elements,Refining,Australia,2035,3.309576923076923
Magnet rare earth elements,Refining,Australia,2040,3.309576923076923
Magnet rare earth elements,Mining,United States,2024,6.859819973384336
Magnet rare earth elements,Mining,United States,2030,9.146426631179114
Magnet rare earth elements,Mining,United States,2035,9.146426631179114
Magnet rare earth elements,Mining,United States,2040,9.146426631179114
Magnet rare earth elements,Refining,United States,2024,0.96135
Magnet rare earth elements,Refining,United States,2030,7.130550000000001
Magnet rare earth elements,Refining,United States,2035,8.859025
Magnet rare earth elements,Refining,United States,2040,8.859025
Magnet rare earth elements,Mining,Rest of world,2024,7.145064290360992
Magnet rare earth elements,Mining,Rest of world,2030,16.45062221173015
Magnet rare earth elements,Mining,Rest of world,2035,17.08662221173013
Magnet rare earth elements,Mining,Rest of world,2040,17.08662221173013
Magnet rare earth elements,Refining,Rest of world,2024,2.4618712374581975
Magnet rare earth elements,Refining,Rest of world,2030,5.786269314381272
Magnet rare earth elements,Refining,Rest of world,2035,5.786269314381258
Magnet rare earth elements,Refining,Rest of world,2040,5.786269314381258
